1	2	1	B	true	11	2026-03-31T01:36:33.966997100
1	2	4	C	true	12	2026-03-31T01:36:33.966997100
1	2	7	A	false	22	2026-03-31T01:36:33.966997100
1	2	10	B	true	18	2026-03-31T01:36:33.966997100
1	2	16	A	false	18	2026-03-31T01:36:33.966997100
1	2	19	C	true	13	2026-03-31T01:36:33.966997100
1	2	13	B	true	14	2026-03-31T01:36:33.966997100
2	2	2	A	false	24	2026-03-31T01:36:33.966997100
2	2	5	B	true	19	2026-03-31T01:36:33.966997100
2	2	8	B	true	16	2026-03-31T01:36:33.966997100
2	2	11	C	true	17	2026-03-31T01:36:33.966997100
2	2	17	B	true	15	2026-03-31T01:36:33.966997100
2	2	20	A	false	21	2026-03-31T01:36:33.966997100
2	2	14	D	true	20	2026-03-31T01:36:33.966997100
3	4	20	B	true	6	2026-04-02T01:39:26.799349200
3	4	8	C	true	6	2026-04-02T01:39:26.799349200
3	4	2	C	true	4	2026-04-02T01:39:26.799349200
3	4	14	C	false	5	2026-04-02T01:39:26.799349200
3	4	17	B	true	4	2026-04-02T01:39:26.799349200
3	4	11	B	true	4	2026-04-02T01:39:26.799349200
3	4	5	B	true	6	2026-04-02T01:39:26.799349200
3	4	19	C	true	8	2026-04-02T01:39:26.799349200
3	4	1	C	false	5	2026-04-02T01:39:26.799349200
3	4	15	B	true	13	2026-04-02T01:39:26.799349200
5	4	3	B	true	13	2026-04-02T01:54:02.380034600
5	4	15	B	true	14	2026-04-02T01:54:02.380034600
5	4	2	C	true	5	2026-04-02T01:54:02.380034600
5	4	14	C	false	7	2026-04-02T01:54:02.380034600
5	4	13	C	false	19	2026-04-02T01:54:02.380034600
5	4	1	C	false	12	2026-04-02T01:54:02.380034600
5	4	10	C	true	10	2026-04-02T01:54:02.380034600
5	4	4	C	true	21	2026-04-02T01:54:02.380034600
5	4	16	B	true	8	2026-04-02T01:54:02.380034600
5	4	7	B	true	9	2026-04-02T01:54:02.380034600
3	4	15	B	true	14	2026-04-02T08:47:19.358759600
3	4	14	C	false	11	2026-04-02T08:47:19.358759600
3	4	13	C	false	8	2026-04-02T08:47:19.358759600
3	4	16	B	true	5	2026-04-02T08:47:19.358759600
3	4	19	C	true	6	2026-04-02T08:47:19.358759600
3	4	1	B	true	12	2026-04-02T08:47:19.358759600
3	4	2	C	true	5	2026-04-02T08:47:19.358759600
3	4	3	B	true	23	2026-04-02T08:47:19.358759600
3	4	9	C	true	13	2026-04-02T08:47:19.358759600
3	4	6	B	true	11	2026-04-02T08:47:19.358759600
